Section Reference;Meta-Analysis Info;TitlePrompt
No Reference;No Info;Carefully analyze the list of titles provided. Your goal is to determine which titles align with the broader context of academic inquiry. Only include titles that demonstrate clear relevance and the potential to contribute meaningful insights. Exclude those that are definitively irrelevant or fail to meet scholarly standards of rigor. Proceed with caution and precision, ensuring every decision reflects a thoughtful and balanced evaluation.
No Reference;No Info;Systematically review the titles below, assessing their potential relevance to a broader academic framework. For each title, evaluate whether it signifies a meaningful contribution to the field. Include works only when confident in their academic value and exclude those lacking sufficient relevance or clarity. Adopt a meticulous and discerning approach throughout this process.
No Reference;No Info;Evaluate the provided titles with an emphasis on identifying those that align with foundational principles of good scholarship. Consider each title’s potential to contribute meaningfully to a wider understanding of the subject. Exclude irrelevant or weakly framed titles, and include only those that meet rigorous academic standards. Be thorough and deliberate in your selections.
No Reference;No Info;Review the titles listed below and determine their relevance with care and precision. Focus on retaining those that suggest strong alignment with academic standards and meaningful contributions to the subject area. Avoid including titles unless their relevance is clear and exclude those that fail to meet these criteria with certainty.
No Reference;No Info;Review the titles listed below and determine their relevance with care and precision. Focus on retaining those that suggest strong alignment with academic standards and meaningful contributions to the subject area. Avoid including titles unless their relevance is clear and exclude those that fail to meet these criteria with certainty.
No Reference;No Info;Thoroughly examine the list of titles, aiming to select those that hold the greatest potential for contributing to a broader understanding of the research topic. Base your evaluation on adherence to academic standards, clarity of purpose, and relevance. Exclude titles only when confident they lack utility or significance. Approach each decision with care and precision.
No Reference;No Info;Review the following list of academic titles with a focus on determining their appropriateness for inclusion in a larger synthesis. Evaluate each title based on its potential relevance, scholarly rigor, and alignment with broader research goals. Include titles only when confident they contribute meaningfully, and exclude any that fall short of these expectations.
No Reference;No Info;Critically appraise the list of titles below, assessing each one for its relevance to a comprehensive exploration of the subject matter. Focus on retaining works that suggest adherence to high standards of academic communication and relevance. Exclude titles only when there is a clear and justifiable reason for doing so.
No Reference;No Info;Carefully screen the titles provided, selecting those that demonstrate clear relevance and the potential to contribute to a balanced understanding of the subject. Exclude any title that does not meet the necessary criteria for scholarly rigor and value. Ensure your selection process is thorough, fair, and reflective of academic best practices.
No Reference;No Info;Approach the list of titles below with a focus on identifying those that are most relevant to advancing knowledge within the field. For each title, evaluate its alignment with foundational academic standards and its potential to contribute meaningfully. Retain works that meet these criteria and exclude those that do not, ensuring a deliberate and methodical review process
No Reference;For MA;Meta-analysis screening requires a rigorous and systematic approach. Review the following titles carefully, selecting those that are clearly relevant to the synthesis of evidence and excluding those that are not. Your aim is to align your selections with the high standards expected of world-class meta-analysts, ensuring the results contribute to a comprehensive and meaningful analysis.
No Reference;For MA;You are contributing to the development of a meta-analysis by evaluating potential research titles. Scrutinize each title thoughtfully, including those that are pertinent to the meta-analysis’s scope and excluding any that lack relevance. Focus on making decisions that uphold the precision and reliability of academic research.
No Reference;For MA;Imagine you are part of a leading research team conducting a meta-analysis. Your task is to assess the titles below for their potential inclusion, ensuring each selection is both relevant and valuable to the broader synthesis of findings. Exclude only those titles that you are confident do not meet the criteria for inclusion.
No Reference;For MA;The following list contains titles for potential inclusion in a meta-analysis. Carefully evaluate each one, considering its relevance and potential contribution to a robust synthesis of knowledge. Include titles only when you are certain of their alignment with the meta-analysis’s objectives, and exclude those that clearly do not meet the required standards.
No Reference;For MA;As a researcher tasked with screening titles for a meta-analysis, your role is to identify those that align with the objectives of a comprehensive synthesis. Use a deliberate and precise approach to include relevant titles and exclude irrelevant ones, ensuring your decisions reflect the quality of a rigorous meta-analytical process.
No Reference;For MA;Your expertise is needed to screen titles for their potential inclusion in a meta-analysis. Carefully review each title, applying a balanced approach to ensure the selection of studies that contribute meaningfully to the research synthesis. Include only those titles that meet the criteria for relevance and exclude those that do not.
No Reference;For MA;You are a key contributor to a high-quality meta-analysis. As you screen the following titles, evaluate their relevance with care and accuracy, selecting those that are most likely to enhance the analysis and excluding any that fall outside its scope. Your attention to detail will ensure the integrity of the final synthesis.
No Reference;For MA;To build a comprehensive meta-analysis, carefully examine the titles below and determine their suitability for inclusion. Select titles that align with the analysis’s goals of synthesizing relevant evidence, and exclude those that do not. Approach this task with the precision and judgment expected in top-tier academic research.
No Reference;For MA;Screen the following titles to identify those that are most relevant to a meta-analysis. Your task is to ensure a balanced and thoughtful selection, including titles that support a meaningful synthesis of research findings and excluding those that lack alignment with the meta-analysis’s purpose.
No Reference;For MA;The titles listed below are candidates for a meta-analysis. Your task is to carefully review each one and determine whether it should be included. Use a rigorous and methodical approach to make decisions that reflect the principles of sensitivity and specificity, ensuring the selection process supports a comprehensive and reliable research synthesis.
No Reference;Title;You are tasked with evaluating the relevance of scientific paper titles for inclusion in a meta-analysis titled [ttl]. Your goal is to carefully assess each title and determine its potential to contribute to the objectives of [ttl]. Be thorough and precise, selecting only those titles that clearly align with the scope of the meta-analysis while excluding those that do not.
No Reference;Title;As part of a research initiative focused on the meta-analysis [ttl], your role is to screen the provided titles for relevance. Focus on identifying titles that reflect meaningful contributions to the goals of the meta-analysis. Include only those that meet high academic standards and exclude any that are not pertinent to the topic.
No Reference;Title;Imagine you are a scientist conducting an initial screening for a meta-analysis titled [ttl]. Your responsibility is to review each paper title objectively, selecting those that fit the aims of the meta-analysis and excluding titles that fall outside its scope. Aim to ensure that your decisions reflect accuracy and balance.
No Reference;Title;our mission is to screen the following scientific paper titles for their inclusion in the meta-analysis titled [ttl]. Carefully evaluate the potential relevance of each title, selecting those that align with the meta-analysis goals. Exercise care to avoid both over-inclusion and under-inclusion to maintain the quality of [ttl].
No Reference;Title;As an expert in meta-analytic research, you are tasked with screening paper titles for a meta-analysis titled [ttl]. For each title, decide whether it supports the objectives of the meta-analysis. Include titles that add value to [ttl] and exclude those that do not fit the criteria for inclusion.
No Reference;Title;In preparation for the meta-analysis titled [ttl], you are tasked with evaluating the following titles. Your objective is to determine which titles are relevant for inclusion. Base your decisions on whether each title demonstrates a clear connection to the focus of [ttl] and can contribute meaningfully to its synthesis.
No Reference;Title;Your task is to review the provided paper titles to determine their relevance for a meta-analysis titled [ttl]. Carefully consider whether each title aligns with the overarching goals of the meta-analysis. Include relevant titles that can enhance the quality and breadth of [ttl], and exclude those that do not align.
No Reference;Title;As part of the team preparing the meta-analysis [ttl], you are responsible for title screening. Your role is to assess the provided titles and select those that are relevant and valuable to the goals of [ttl]. Maintain an objective and rigorous approach in deciding which titles to include or exclude.
No Reference;Title;ou are conducting a critical review of paper titles for their inclusion in a meta-analysis titled [ttl]. Use your expertise to determine whether each title has the potential to contribute to a comprehensive synthesis of evidence. Select relevant titles and exclude those that do not meet the meta-analysis criteria.
No Reference;Title;As a researcher, you are tasked with screening titles for their inclusion in the meta-analysis [ttl]. Review the provided list and evaluate each title’s relevance based on its alignment with the aims of the meta-analysis. Strive for accuracy, ensuring that only high-quality and relevant studies are included in [ttl].
No Reference;Criteria;Evaluate the titles listed below to determine their relevance to a meta-analysis. Use the following criteria for inclusion: [inclusion criteria] and for exclusion: [exclusion criteria]. Carefully consider each title’s alignment with these guidelines, ensuring relevant studies are selected for inclusion and irrelevant ones are excluded.
No Reference;Criteria;Your task is to screen the provided titles for a meta-analysis. The selection must follow these guidelines: [inclusion criteria] for inclusion and [exclusion criteria] for exclusion. Make accurate and thoughtful decisions to ensure the final meta-analysis is comprehensive and meaningful.
No Reference;Criteria;As part of a research initiative, review the scientific paper titles below and assess their relevance to a meta-analysis. Inclusion and exclusion decisions must adhere to the following standards: [inclusion criteria] [exclusion criteria]. Strive for precision in determining which studies to include or exclude.
No Reference;Criteria;Carefully review the provided paper titles to determine their eligibility for inclusion in a meta-analysis. Decisions should be based on these criteria: [inclusion criteria] for inclusion and [exclusion criteria] for exclusion. Your rigorous evaluation will ensure the meta-analysis reflects the highest standards of research.
No Reference;Criteria;Screen the scientific titles below for their potential inclusion in a meta-analysis. The process should adhere to these specific guidelines: [inclusion criteria] [exclusion criteria]. Ensure your assessments are objective, consistent, and guided by the criteria provided.
No Reference;Criteria;As a researcher, your role is to review the provided paper titles for relevance to a meta-analysis. Use the following standards to guide your choices: [inclusion criteria] for inclusion and [exclusion criteria] for exclusion. Approach each decision with care and expertise to build a robust meta-analysis.
No Reference;Criteria;Evaluate the following titles for their inclusion in a meta-analysis using the specified criteria: [inclusion criteria] for inclusion and [exclusion criteria] for exclusion. Your systematic and precise assessment will contribute to the meta-analysis’s accuracy and relevance.
No Reference;Criteria;Analyze the scientific titles provided to determine their inclusion or exclusion in a meta-analysis. Follow these criteria: [inclusion criteria] [exclusion criteria]. Your task is to ensure that only studies meeting the criteria are selected, supporting a rigorous and comprehensive meta-analysis.
No Reference;Criteria;Your task is to review the list of scientific paper titles for inclusion in a meta-analysis. Use the outlined inclusion criteria: [inclusion criteria] and exclusion criteria: [exclusion criteria] to make informed and objective decisions about each title’s relevance.
